time,l speed,r speed,l error,l effort,r error,r effort
51,-0.0,-6.317934,100.0,0.402,106.3179,0.4273981
102,63.17934,56.86141,36.82066,0.250019,43.13859,0.2818614
153,202.1739,202.1739,-102.1739,-0.271182,-102.1739,-0.2582934
204,296.9429,303.2608,-196.9429,-0.7563708,-203.2608,-0.7688803
255,360.1223,366.4402,-260.1223,-1.211233,-266.4402,-1.230187
306,404.3478,410.6657,-304.3478,-1.654345,-310.6657,-1.679743
357,429.6195,442.2554,-329.6195,-2.066372,-342.2554,-2.123612
408,454.8913,467.5271,-354.8913,-2.504176,-367.5271,-2.574305
459,467.5271,480.163,-367.5271,-2.916961,-380.163,-2.999979
510,473.8451,492.7989,-373.8451,-3.317237,-392.7989,-3.438541
561,486.481,499.1168,-386.481,-3.749356,-399.1168,-3.864595
612,492.7989,505.4348,-392.7989,-4.168964,-405.4348,-4.297092
663,492.7989,511.7527,-392.7989,-4.569619,-411.7527,-4.736033
714,499.1168,511.7527,-399.1168,-4.995672,-411.7527,-5.156021
765,499.1168,511.7527,-399.1168,-5.402771,-411.7527,-5.576009
816,499.1168,511.7527,-399.1168,-5.80987,-411.7527,-5.995997
867,505.4348,518.0706,-405.4348,-6.242367,-418.0706,-6.441383
918,505.4348,518.0706,-405.4348,-6.65591,-418.0706,-6.867815
969,505.4348,518.0706,-405.4348,-7.069454,-418.0706,-7.294247
1020,505.4348,518.0706,-405.4348,-7.482998,-418.0706,-7.720678
1071,505.4348,524.3885,-405.4348,-7.896542,-424.3885,-8.172508
1122,505.4348,518.0706,-405.4348,-8.310085,-418.0706,-8.579987
1173,505.4348,518.0706,-405.4348,-8.723629,-418.0706,-9.006418
1224,505.4348,524.3885,-405.4348,-9.137173,-424.3885,-9.458249
1275,505.4348,518.0706,-405.4348,-9.550716,-418.0706,-9.865726
1326,511.7527,518.0706,-411.7527,-9.989658,-418.0706,-10.29216
1377,505.4348,518.0706,-405.4348,-10.38425,-418.0706,-10.71859
1428,505.4348,524.3885,-405.4348,-10.79779,-424.3885,-11.17042
1479,505.4348,518.0706,-405.4348,-11.21134,-418.0706,-11.5779
1530,505.4348,524.3885,-405.4348,-11.62488,-424.3885,-12.02973
1581,511.7527,518.0706,-411.7527,-12.06382,-418.0706,-12.43721
1632,505.4348,524.3885,-405.4348,-12.45841,-424.3885,-12.88904
1683,505.4348,524.3885,-405.4348,-12.87195,-424.3885,-13.32191
1734,505.4348,518.0706,-405.4348,-13.2855,-418.0706,-13.72939
1785,505.4348,524.3885,-405.4348,-13.69904,-424.3885,-14.18122
1836,505.4348,518.0706,-405.4348,-14.11259,-418.0706,-14.5887
1887,505.4348,524.3885,-405.4348,-14.52613,-424.3885,-15.04053
1938,505.4348,518.0706,-405.4348,-14.93967,-418.0706,-15.44801
1989,505.4348,524.3885,-405.4348,-15.35322,-424.3885,-15.89984
2040,511.7527,524.3885,-411.7527,-15.79216,-424.3885,-16.33271
2091,505.4348,524.3885,-405.4348,-16.18675,-424.3885,-16.76559
2142,505.4348,524.3885,-405.4348,-16.60029,-424.3885,-17.19846
2193,505.4348,524.3885,-405.4348,-17.01383,-424.3885,-17.63134
2244,505.4348,524.3885,-405.4348,-17.42738,-424.3885,-18.06422
2295,505.4348,524.3885,-405.4348,-17.84092,-424.3885,-18.49709
2346,505.4348,524.3885,-405.4348,-18.25447,-424.3885,-18.92997
2397,505.4348,524.3885,-405.4348,-18.66801,-424.3885,-19.36284
2448,505.4348,524.3885,-405.4348,-19.08155,-424.3885,-19.79572
2499,505.4348,524.3885,-405.4348,-19.4951,-424.3885,-20.2286
2550,505.4348,524.3885,-405.4348,-19.90864,-424.3885,-20.66147
2601,505.4348,524.3885,-405.4348,-20.32218,-424.3885,-21.09435
2652,505.4348,524.3885,-405.4348,-20.73573,-424.3885,-21.52723
2703,511.7527,524.3885,-411.7527,-21.17467,-424.3885,-21.9601
2754,499.1168,524.3885,-399.1168,-21.54386,-424.3885,-22.39298
2805,505.4348,518.0706,-405.4348,-21.97636,-418.0706,-22.80046
2856,505.4348,524.3885,-405.4348,-22.3899,-424.3885,-23.25229
2907,505.4348,524.3885,-405.4348,-22.80344,-424.3885,-23.68516
2959,508.1077,520.5005,-408.1077,-23.23589,-420.5005,-24.11082
3010,499.1168,518.0706,-399.1168,-23.61602,-418.0706,-24.52996
3061,511.7527,524.3885,-411.7527,-24.07392,-424.3885,-24.98179
3112,505.4348,524.3885,-405.4348,-24.4685,-424.3885,-25.41467
3163,505.4348,518.0706,-405.4348,-24.88205,-418.0706,-25.82215
3214,505.4348,524.3885,-405.4348,-25.29559,-424.3885,-26.27398
3265,505.4348,524.3885,-405.4348,-25.70913,-424.3885,-26.70686
3316,505.4348,518.0706,-405.4348,-26.12267,-418.0706,-27.11433
3367,505.4348,524.3885,-405.4348,-26.53622,-424.3885,-27.56616
3418,505.4348,524.3885,-405.4348,-26.94976,-424.3885,-27.99904
3469,505.4348,518.0706,-405.4348,-27.3633,-418.0706,-28.40652
3520,505.4348,518.0706,-405.4348,-27.77684,-418.0706,-28.83295
3571,505.4348,524.3885,-405.4348,-28.19039,-424.3885,-29.28478
3622,505.4348,524.3885,-405.4348,-28.60393,-424.3885,-29.71766
3673,505.4348,518.0706,-405.4348,-29.01747,-418.0706,-30.12514
3724,505.4348,524.3885,-405.4348,-29.43101,-424.3885,-30.57697
3775,505.4348,518.0706,-405.4348,-29.84456,-418.0706,-30.98445
3826,505.4348,524.3885,-405.4348,-30.2581,-424.3885,-31.43628
3877,499.1168,524.3885,-399.1168,-30.64624,-424.3885,-31.86915
3928,505.4348,518.0706,-405.4348,-31.07874,-418.0706,-32.27663
3979,505.4348,524.3885,-405.4348,-31.49228,-424.3885,-32.72846
4030,505.4348,518.0706,-405.4348,-31.90582,-418.0706,-33.13594
4081,505.4348,524.3885,-405.4348,-32.31937,-424.3885,-33.58777
4132,499.1168,524.3885,-399.1168,-32.70751,-424.3885,-34.02065
4183,505.4348,518.0706,-405.4348,-33.14001,-418.0706,-34.42812
4234,505.4348,518.0706,-405.4348,-33.55355,-418.0706,-34.85456
4285,505.4348,524.3885,-405.4348,-33.96709,-424.3885,-35.30639
4336,505.4348,518.0706,-405.4348,-34.38064,-418.0706,-35.71387
4387,505.4348,518.0706,-405.4348,-34.79418,-418.0706,-36.1403
4438,505.4348,524.3885,-405.4348,-35.20772,-424.3885,-36.59213
4489,505.4348,518.0706,-405.4348,-35.62127,-418.0706,-36.99961
4540,505.4348,518.0706,-405.4348,-36.03481,-418.0706,-37.42604
4591,505.4348,518.0706,-405.4348,-36.44835,-418.0706,-37.85247
4642,505.4348,524.3885,-405.4348,-36.86189,-424.3885,-38.30431
4693,505.4348,518.0706,-405.4348,-37.27544,-418.0706,-38.71178
4744,505.4348,524.3885,-405.4348,-37.68898,-424.3885,-39.16362
4795,505.4348,518.0706,-405.4348,-38.10252,-418.0706,-39.57109
4846,505.4348,524.3885,-405.4348,-38.51606,-424.3885,-40.02292
4897,499.1168,518.0706,-399.1168,-38.90421,-418.0706,-40.4304
4948,505.4348,518.0706,-405.4348,-39.3367,-418.0706,-40.85683
