time,l speed,r speed,l error,l effort,r error,r effort
51,-6.317934,0.0,106.3179,0.1605401,100.0,0.151
102,31.58967,31.58967,68.41032,0.1575217,68.41032,0.1542996
153,120.0408,138.9946,-20.04076,0.05884986,-38.99455,0.02700749
204,195.856,221.1277,-95.85597,-0.0658519,-121.1277,-0.1169008
255,252.7174,271.6712,-152.7174,-0.2005992,-171.6712,-0.2549966
306,303.2608,303.2608,-203.2608,-0.3548057,-203.2608,-0.3902493
357,334.8505,341.1685,-234.8505,-0.5061691,-241.1685,-0.5511528
408,353.8043,379.076,-253.8043,-0.654563,-279.076,-0.7313891
460,359.3932,402.7683,-259.3932,-0.7950366,-302.7683,-0.9125209
511,385.394,416.9837,-285.394,-0.9665881,-316.9837,-1.088398
562,398.0298,435.9374,-298.0298,-1.131219,-335.9374,-1.27868
613,416.9837,442.2554,-316.9837,-1.311835,-342.2554,-1.459548
664,429.6195,448.5733,-329.6195,-1.492577,-348.5733,-1.643638
715,423.3016,467.5271,-323.3016,-1.651142,-367.5271,-1.850031
766,435.9374,467.5271,-335.9374,-1.835106,-367.5271,-2.03747
818,433.7505,470.9291,-333.7505,-2.00647,-370.9291,-2.233755
869,429.6195,473.8451,-329.6195,-2.170445,-373.8451,-2.427332
920,429.6195,480.163,-329.6195,-2.338551,-380.163,-2.627533
971,429.6195,480.163,-329.6195,-2.506657,-380.163,-2.821416
1022,429.6195,480.163,-329.6195,-2.674762,-380.163,-3.015299
1073,429.6195,486.481,-329.6195,-2.842868,-386.481,-3.218723
1124,435.9374,486.481,-335.9374,-3.020514,-386.481,-3.415828
1176,458.5362,477.1255,-358.5362,-3.229552,-377.1255,-3.602578
1227,448.5733,473.8451,-348.5733,-3.397362,-373.8451,-3.789958
1278,442.2554,492.7989,-342.2554,-3.565594,-392.7989,-4.00924
1329,454.8913,486.481,-354.8913,-3.759224,-386.481,-4.200027
1380,454.8913,486.481,-354.8913,-3.940219,-386.481,-4.397132
1431,461.2092,492.7989,-361.2092,-4.130754,-392.7989,-4.603778
1482,448.5733,499.1168,-348.5733,-4.29589,-399.1168,-4.813645
1534,464.7327,501.9113,-364.7327,-4.50171,-401.9113,-5.025434
1585,467.5271,486.481,-367.5271,-4.691944,-386.481,-5.207108
1636,461.2092,499.1168,-361.2092,-4.869843,-399.1168,-5.423294
1687,461.2092,499.1168,-361.2092,-5.05406,-399.1168,-5.626844
