time,l speed,r speed,l error,l effort,r error,r effort
51,-6.317934,0.0,106.3179,0.1605401,100.0,0.151
103,49.57148,74.35722,50.42852,0.1308735,25.64278,0.08997702
154,214.8098,189.538,-114.8098,-0.09291775,-89.53802,-0.07086818
205,309.5788,303.2608,-209.5788,-0.2945719,-203.2608,-0.288254
256,404.3478,379.076,-304.3478,-0.5445583,-279.076,-0.506398
307,480.163,429.6195,-380.163,-0.8142567,-329.6195,-0.7250475
358,524.3885,467.5271,-424.3885,-1.07492,-367.5271,-0.9503939
409,549.6603,511.7527,-449.6603,-1.329519,-411.7527,-1.204613
460,562.2961,574.932,-462.2961,-1.577926,-474.932,-1.510008
511,555.9782,543.3423,-455.9782,-1.804157,-443.3423,-1.704523
562,581.2499,593.8858,-481.2499,-2.074866,-493.8858,-2.006948
613,606.5217,600.2038,-506.5217,-2.358464,-500.2038,-2.26837
664,619.1575,631.7934,-519.1575,-2.63587,-531.7934,-2.571174
715,631.7934,638.1113,-531.7934,-2.91972,-538.1113,-2.851929
766,638.1113,644.4293,-538.1113,-3.200475,-544.4293,-3.135906
817,644.4293,669.701,-544.4293,-3.484452,-569.701,-3.451725
868,644.4293,663.3831,-544.4293,-3.762111,-563.3831,-3.732732
919,650.7472,669.701,-550.7472,-4.04931,-569.701,-4.029598
970,650.7472,682.3369,-550.7472,-4.330191,-582.3369,-4.339226
1021,657.0652,676.019,-557.0652,-4.620612,-576.019,-4.626678
1072,657.0652,682.3369,-557.0652,-4.904715,-582.3369,-4.929987
1123,663.3831,682.3369,-563.3831,-5.198359,-582.3369,-5.226979
1174,663.3831,682.3369,-563.3831,-5.485684,-582.3369,-5.523971
1225,663.3831,682.3369,-563.3831,-5.773009,-582.3369,-5.820963
1276,663.3831,688.6548,-563.3831,-6.060335,-588.6548,-6.127495
1327,657.0652,688.6548,-557.0652,-6.33812,-588.6548,-6.42771
1378,657.0652,694.9728,-557.0652,-6.622223,-594.9728,-6.737463
1429,657.0652,688.6548,-557.0652,-6.906327,-588.6548,-7.03136
1480,650.7472,694.9728,-550.7472,-7.180891,-594.9728,-7.341114
1531,650.7472,688.6548,-550.7472,-7.461772,-588.6548,-7.63501
1582,644.4293,688.6548,-544.4293,-7.733113,-588.6548,-7.935225
1633,650.7472,688.6548,-550.7472,-8.020311,-588.6548,-8.235438
1684,663.3831,682.3369,-563.3831,-8.320273,-582.3369,-8.526113
1735,657.0652,682.3369,-557.0652,-8.598059,-582.3369,-8.823105
