time,l speed,r speed,l error,l effort,r error,r effort
51,6.317934,0.0,193.6821,0.2924599,200.0,0.302
102,18.9538,12.63587,181.0462,0.3721576,187.3641,0.3849198
153,63.17934,37.9076,136.8206,0.3977106,162.0924,0.4423152
204,82.13315,69.49728,117.8669,0.4388689,130.5027,0.477282
255,101.0869,113.7228,98.91306,0.4703608,86.27718,0.4770577
306,132.6766,151.6304,67.32338,0.473106,48.36958,0.4638186
357,157.9483,183.2201,42.05165,0.4692806,16.77991,0.4407867
408,183.2201,202.1739,16.77991,0.4525666,-2.173889,0.4207242
459,183.2201,214.8098,16.77991,0.4611243,-14.80975,0.4005354
510,208.4918,202.1739,-8.491837,0.4315218,-2.173889,0.4120626
561,214.8098,202.1739,-14.80975,0.4176509,-2.173889,0.4109539
612,221.1277,208.4918,-21.1277,0.4005578,-8.491837,0.4003052
663,221.1277,202.1739,-21.1277,0.3897826,-2.173889,0.4055144
714,195.856,208.4918,4.144028,0.4171679,-8.491837,0.3948657
765,189.538,202.1739,10.46198,0.4288214,-2.173889,0.4000749
816,183.2201,214.8098,16.77991,0.443697,-14.80975,0.3798861
867,183.2201,208.4918,16.77991,0.4522548,-8.491837,0.3818732
918,195.856,202.1739,4.144028,0.4417324,-2.173889,0.3870825
969,214.8098,189.538,-14.80975,0.4152256,10.46198,0.4050539
1020,214.8098,183.2201,-14.80975,0.4076726,16.77991,0.4199296
1071,221.1277,189.538,-21.1277,0.3905795,10.46198,0.4189473
1122,214.8098,189.538,-14.80975,0.3893445,10.46198,0.4242829
1173,208.4918,195.856,-8.491837,0.3913316,4.144028,0.4200785
1224,195.856,202.1739,4.144028,0.4060809,-2.173889,0.4126518
1275,183.2201,202.1739,16.77991,0.4272745,-2.173889,0.4115432
1326,176.9022,214.8098,23.09784,0.4453723,-14.80975,0.3913543
1377,183.2201,208.4918,16.77991,0.4476121,-8.491837,0.3933414
1428,202.1739,202.1739,-2.173889,0.4275497,-2.173889,0.3985507
