time,l speed,r speed,l error,l effort,r error,r effort
51,-6.317934,0.0,106.3179,0.4273981,100.0,0.402
103,43.37505,43.37505,56.62495,0.3372091,56.62495,0.3307648
154,126.3587,113.7228,-26.35869,0.06137233,-13.72282,0.1057242
205,113.7228,107.4049,-13.72282,0.08528267,-7.404877,0.1171251
256,69.49728,75.81521,30.50272,0.2490721,24.18479,0.2365626
307,75.81521,82.13315,24.18479,0.2547868,17.86685,0.2358329
358,107.4049,101.0869,-7.404877,0.1524648,-1.086945,0.1778629
409,107.4049,107.4049,-7.404877,0.1449118,-7.404877,0.1513561
460,94.76901,94.76901,5.230988,0.188155,5.230988,0.1945993
511,82.13315,94.76901,17.86685,0.2442868,5.230988,0.1999349
562,88.45108,94.76901,11.54892,0.2371129,5.230988,0.2052705
613,107.4049,94.76901,-7.404877,0.1726985,5.230988,0.2106061
664,101.0869,94.76901,-1.086945,0.1905436,5.230988,0.2159417
715,88.45108,101.0869,11.54892,0.2402311,-1.086945,0.1958792
766,101.0869,94.76901,-1.086945,0.2012148,5.230988,0.2201686
817,107.4049,101.0869,-7.404877,0.1747081,-1.086945,0.2001061
868,101.0869,101.0869,-1.086945,0.1925532,-1.086945,0.1989974
919,94.76901,101.0869,5.230988,0.2168426,-1.086945,0.1978887
970,94.76901,101.0869,5.230988,0.2221782,-1.086945,0.1967801
1021,101.0869,101.0869,-1.086945,0.2021157,-1.086945,0.1956714
1072,107.4049,101.0869,-7.404877,0.1756089,-1.086945,0.1945627
1123,94.76901,94.76901,5.230988,0.2188521,5.230988,0.2188521
1174,94.76901,94.76901,5.230988,0.2241877,5.230988,0.2241877
1225,101.0869,101.0869,-1.086945,0.2041253,-1.086945,0.2041252
1276,107.4049,101.0869,-7.404877,0.1776185,-1.086945,0.2030165
1327,94.76901,107.4049,5.230988,0.2208617,-7.404877,0.1765097
1378,101.0869,94.76901,-1.086945,0.2007992,5.230988,0.2197529
1429,94.76901,101.0869,5.230988,0.2250886,-1.086945,0.1996905
1480,94.76901,101.0869,5.230988,0.2304242,-1.086945,0.1985818
1531,107.4049,101.0869,-7.404877,0.1849636,-1.086945,0.1974731
1582,101.0869,94.76901,-1.086945,0.2028087,5.230988,0.2217625
1633,94.76901,94.76901,5.230988,0.2270981,5.230988,0.2270981
1684,101.0869,101.0869,-1.086945,0.2070357,-1.086945,0.2070356
1735,101.0869,107.4049,-1.086945,0.205927,-7.404877,0.1805288
1786,94.76901,94.76901,5.230988,0.2302164,5.230988,0.223772
1837,107.4049,94.76901,-7.404877,0.1847558,5.230988,0.2291076
1888,107.4049,101.0869,-7.404877,0.1772028,-1.086945,0.2090451
1939,94.76901,107.4049,5.230988,0.220446,-7.404877,0.1825384
1990,94.76901,101.0869,5.230988,0.2257816,-1.086945,0.2003835
