time,l speed,r speed,l error,l effort,r error,r effort
51,-0.0,0.0,100.0,10.0,100.0,10.0
102,56.86141,94.76901,43.13859,4.313859,5.230988,0.5230988
153,246.3994,265.3532,-146.3994,-14.63994,-165.3532,-16.53532
204,157.9483,138.9946,-57.94835,-5.794835,-38.99455,-3.899455
255,-126.3587,-120.0408,226.3587,22.63587,220.0408,22.00408
306,-82.13315,-75.81521,182.1331,18.21332,175.8152,17.58152
357,176.9022,189.538,-76.90216,-7.690216,-89.53802,-8.953803
408,113.7228,120.0408,-13.72282,-1.372282,-20.04076,-2.004076
459,-157.9483,-164.2663,257.9484,25.79484,264.2663,26.42663
510,-101.0869,-101.0869,201.0869,20.10869,201.0869,20.10869
561,170.5842,176.9022,-70.58423,-7.058423,-76.90216,-7.690216
612,107.4049,113.7228,-7.404877,-0.7404877,-13.72282,-1.372282
663,-164.2663,-170.5842,264.2663,26.42663,270.5842,27.05842
714,-94.76901,-101.0869,194.769,19.4769,201.0869,20.10869
765,170.5842,170.5842,-70.58423,-7.058423,-70.58423,-7.058423
816,101.0869,107.4049,-1.086945,-0.1086945,-7.404877,-0.7404877
867,-113.7228,-145.3125,213.7228,21.37228,245.3125,24.53125
918,-25.27174,-94.76901,125.2717,12.52717,194.769,19.4769
969,195.856,164.2663,-95.85597,-9.585597,-64.2663,-6.42663
1020,120.0408,113.7228,-20.04076,-2.004076,-13.72282,-1.372282
1071,-164.2663,-145.3125,264.2663,26.42663,245.3125,24.53125
1122,-113.7228,-94.76901,213.7228,21.37228,194.769,19.4769
1173,164.2663,170.5842,-64.2663,-6.42663,-70.58423,-7.058423
1224,101.0869,107.4049,-1.086945,-0.1086945,-7.404877,-0.7404877
1275,-82.13315,-132.6766,182.1331,18.21332,232.6766,23.26766
1326,18.9538,-56.86141,81.0462,8.10462,156.8614,15.68614
1377,233.7636,202.1739,-133.7636,-13.37636,-102.1739,-10.21739
1428,151.6304,132.6766,-51.63042,-5.163042,-32.67662,-3.267662
1479,-145.3125,-145.3125,245.3125,24.53125,245.3125,24.53125
1530,-94.76901,-88.45108,194.769,19.4769,188.4511,18.84511
1581,170.5842,176.9022,-70.58423,-7.058423,-76.90216,-7.690216
1632,107.4049,120.0408,-7.404877,-0.7404877,-20.04076,-2.004076
1685,-158.0676,-158.0676,258.0676,25.80676,258.0676,25.80676
1736,-75.81521,-107.4049,175.8152,17.58152,207.4049,20.74049
1787,183.2201,151.6304,-83.22009,-8.322009,-51.63042,-5.163042
1838,113.7228,101.0869,-13.72282,-1.372282,-1.086945,-0.1086945
1889,-170.5842,-120.0408,270.5842,27.05842,220.0408,22.00408
1940,-120.0408,6.317934,220.0408,22.00408,93.68207,9.368207
1991,157.9483,227.4456,-57.94835,-5.794835,-127.4456,-12.74456
