time,l speed,r speed,l error,l effort,r error,r effort
51,-6.317934,0.0,106.3179,0.1605401,100.0,0.151
103,6.196435,6.196435,93.80357,0.1968036,93.80357,0.1935814
154,25.27174,25.27174,74.72826,0.2158397,74.72826,0.2126175
205,50.54347,50.54347,49.45653,0.2157908,49.45653,0.2125686
256,75.81521,82.13315,24.18479,0.2028533,17.86685,0.190091
307,94.76901,88.45108,5.230988,0.1865673,11.54892,0.1896631
358,88.45108,94.76901,11.54892,0.1987752,5.230988,0.1860129
409,101.0869,101.0869,-1.086945,0.185585,-1.086945,0.1791407
460,94.76901,101.0869,5.230988,0.1945707,-1.086945,0.1785863
511,94.76901,94.76901,5.230988,0.1972385,5.230988,0.1875721
562,101.0869,94.76901,-1.086945,0.1903663,5.230988,0.1902399
613,94.76901,101.0869,5.230988,0.199352,-1.086945,0.1833676
664,94.76901,94.76901,5.230988,0.2020198,5.230988,0.1923534
715,101.0869,94.76901,-1.086945,0.1951475,5.230988,0.1950212
766,94.76901,94.76901,5.230988,0.2041333,5.230988,0.197689
817,94.76901,101.0869,5.230988,0.2068011,-1.086945,0.1908167
868,101.0869,94.76901,-1.086945,0.1999288,5.230988,0.1998025
919,94.76901,94.76901,5.230988,0.2089146,5.230988,0.2024703
970,94.76901,101.0869,5.230988,0.2115824,-1.086945,0.195598
1021,101.0869,101.0869,-1.086945,0.2047101,-1.086945,0.1950437
1072,94.76901,88.45108,5.230988,0.2136959,11.54892,0.2135695
1123,94.76901,101.0869,5.230988,0.2163637,-1.086945,0.2003793
1174,101.0869,101.0869,-1.086945,0.2094914,-1.086945,0.1998249
1225,101.0869,94.76901,-1.086945,0.2089371,5.230988,0.2088107
1276,107.4049,107.4049,-7.404877,0.1988426,-7.404877,0.1923983
1327,107.4049,101.0869,-7.404877,0.1950661,-1.086945,0.1981619
1378,107.4049,101.0869,-7.404877,0.1912897,-1.086945,0.1976076
1429,101.0869,107.4049,-1.086945,0.1970533,-7.404877,0.1875132
1480,101.0869,101.0869,-1.086945,0.1964989,-1.086945,0.1932768
1531,101.0869,101.0869,-1.086945,0.1959446,-1.086945,0.1927224
1582,101.0869,88.45108,-1.086945,0.1953902,11.54892,0.2112483
1633,101.0869,101.0869,-1.086945,0.1948359,-1.086945,0.1980581
1684,101.0869,94.76901,-1.086945,0.1942816,5.230988,0.2070438
1735,88.45108,101.0869,11.54892,0.2128074,-1.086945,0.2001715
1786,101.0869,94.76901,-1.086945,0.1996172,5.230988,0.2091573
1837,101.0869,94.76901,-1.086945,0.1990629,5.230988,0.2118251
1888,101.0869,101.0869,-1.086945,0.1985085,-1.086945,0.2049528
1939,107.4049,94.76901,-7.404877,0.1884141,5.230988,0.2139386
1990,101.0869,101.0869,-1.086945,0.1941777,-1.086945,0.2070663
