time,l speed,r speed,l error,l effort,r error,r effort
51,-0.0,0.0,400.0,0.604,400.0,0.604
103,61.96436,30.98218,338.0356,0.7178142,369.0178,0.7649071
154,195.856,170.5842,204.144,0.688036,229.4158,0.7423071
205,296.9429,290.625,103.0571,0.6395082,109.375,0.6780476
256,366.4402,379.076,33.55981,0.5871264,20.92395,0.6002677
307,391.7119,404.3478,8.288055,0.5660816,-4.347778,0.5727786
358,404.3478,416.9837,-4.347778,0.5512283,-16.98367,0.551481
409,404.3478,410.6657,-4.347778,0.549011,-10.66571,0.5523595
460,404.3478,404.3478,-4.347778,0.5467937,-4.347778,0.55646
511,391.7119,404.3478,8.288055,0.5636564,-4.347778,0.5542426
562,398.0298,398.0298,1.970154,0.5583433,1.970154,0.5615654
613,398.0298,398.0298,1.970154,0.5593481,1.970154,0.5625701
664,398.0298,398.0298,1.970154,0.5603528,1.970154,0.563575
715,398.0298,398.0298,1.970154,0.5613577,1.970154,0.5645798
766,398.0298,404.3478,1.970154,0.5623625,-4.347778,0.5560444
817,404.3478,398.0298,-4.347778,0.5538271,1.970154,0.5633672
868,398.0298,398.0298,1.970154,0.5611499,1.970154,0.564372
919,404.3478,398.0298,-4.347778,0.5526146,1.970154,0.5653768
970,398.0298,404.3478,1.970154,0.5599373,-4.347778,0.5568414
1021,398.0298,398.0298,1.970154,0.5609421,1.970154,0.5641642
1072,398.0298,398.0298,1.970154,0.5619469,1.970154,0.565169
1123,398.0298,398.0298,1.970154,0.5629517,1.970154,0.5661738
1174,404.3478,404.3478,-4.347778,0.5544164,-4.347778,0.5576384
1225,398.0298,398.0298,1.970154,0.5617391,1.970154,0.5649612
1276,398.0298,404.3478,1.970154,0.5627439,-4.347778,0.5564259
1327,398.0298,398.0298,1.970154,0.5637486,1.970154,0.5637486
1378,404.3478,398.0298,-4.347778,0.5552134,1.970154,0.5647534
1429,398.0298,404.3478,1.970154,0.5625361,-4.347778,0.5562181
1480,398.0298,398.0298,1.970154,0.5635409,1.970154,0.5635408
1531,398.0298,398.0298,1.970154,0.5645457,1.970154,0.5645456
1582,398.0298,398.0298,1.970154,0.5655505,1.970154,0.5655504
1633,398.0298,404.3478,1.970154,0.5665553,-4.347778,0.557015
1684,404.3478,398.0298,-4.347778,0.5580199,1.970154,0.5643378
1735,404.3478,404.3478,-4.347778,0.5558026,-4.347778,0.5558024
1786,398.0298,398.0298,1.970154,0.5631253,1.970154,0.5631252
1837,398.0298,398.0298,1.970154,0.5641301,1.970154,0.5641301
1888,398.0298,404.3478,1.970154,0.5651349,-4.347778,0.5555947
1939,398.0298,398.0298,1.970154,0.5661397,1.970154,0.5629175
1990,404.3478,398.0298,-4.347778,0.5576044,1.970154,0.5639222
2041,398.0298,398.0298,1.970154,0.5649271,1.970154,0.5649271
2092,398.0298,404.3478,1.970154,0.5659319,-4.347778,0.5563917
2143,404.3478,398.0298,-4.347778,0.5573966,1.970154,0.5637145
2194,398.0298,398.0298,1.970154,0.5647193,1.970154,0.5647192
2245,398.0298,398.0298,1.970154,0.5657241,1.970154,0.5657241
2296,404.3478,404.3478,-4.347778,0.5571888,-4.347778,0.5571887
2347,391.7119,398.0298,8.288055,0.5740515,1.970154,0.5645115
2398,404.3478,398.0298,-4.347778,0.5591983,1.970154,0.5655163
2449,398.0298,404.3478,1.970154,0.5665211,-4.347778,0.5569809
2500,404.3478,398.0298,-4.347778,0.5579857,1.970154,0.5643037
2551,398.0298,404.3478,1.970154,0.5653085,-4.347778,0.5557684
2602,398.0298,398.0298,1.970154,0.5663133,1.970154,0.5630911
2653,398.0298,398.0298,1.970154,0.5673181,1.970154,0.5640959
2704,398.0298,398.0298,1.970154,0.5683229,1.970154,0.5651007
2755,404.3478,398.0298,-4.347778,0.5597876,1.970154,0.5661055
2806,398.0298,404.3478,1.970154,0.5671103,-4.347778,0.5575702
2857,404.3478,398.0298,-4.347778,0.558575,1.970154,0.5648929
2908,398.0298,398.0298,1.970154,0.5658978,1.970154,0.5658977
2959,398.0298,398.0298,1.970154,0.5669025,1.970154,0.5669024
3010,398.0298,404.3478,1.970154,0.5679073,-4.347778,0.5583672
3061,404.3478,404.3478,-4.347778,0.5593719,-4.347778,0.5561498
3112,398.0298,398.0298,1.970154,0.5666947,1.970154,0.5634726
3163,398.0298,398.0298,1.970154,0.5676995,1.970154,0.5644773
3214,398.0298,398.0298,1.970154,0.5687043,1.970154,0.5654821
3265,404.3478,398.0298,-4.347778,0.560169,1.970154,0.5664869
3316,398.0298,404.3478,1.970154,0.5674918,-4.347778,0.5579515
3367,404.3478,398.0298,-4.347778,0.5589564,1.970154,0.5652743
3418,398.0298,398.0298,1.970154,0.5662792,1.970154,0.5662791
3469,398.0298,404.3478,1.970154,0.5672839,-4.347778,0.5577438
3520,398.0298,404.3478,1.970154,0.5682888,-4.347778,0.5555264
3571,404.3478,398.0298,-4.347778,0.5597534,1.970154,0.5628491
3622,398.0298,398.0298,1.970154,0.5670762,1.970154,0.563854
3673,398.0298,398.0298,1.970154,0.5680809,1.970154,0.5648587
3724,404.3478,398.0298,-4.347778,0.5595456,1.970154,0.5658636
3775,398.0298,398.0298,1.970154,0.5668684,1.970154,0.5668684
3826,398.0298,404.3478,1.970154,0.5678732,-4.347778,0.558333
3877,398.0298,398.0298,1.970154,0.568878,1.970154,0.5656558
3928,404.3478,404.3478,-4.347778,0.5603426,-4.347778,0.5571204
3979,398.0298,391.7119,1.970154,0.5676654,8.288055,0.5739832
4030,398.0298,404.3478,1.970154,0.5686702,-4.347778,0.55913
4081,404.3478,398.0298,-4.347778,0.5601348,1.970154,0.5664527
4132,398.0298,398.0298,1.970154,0.5674576,1.970154,0.5674575
4183,398.0298,398.0298,1.970154,0.5684624,1.970154,0.5684623
4234,404.3478,404.3478,-4.347778,0.559927,-4.347778,0.559927
4285,398.0298,398.0298,1.970154,0.5672498,1.970154,0.5672497
4336,398.0298,404.3478,1.970154,0.5682546,-4.347778,0.5587144
4387,398.0298,398.0298,1.970154,0.5692594,1.970154,0.5660372
4438,404.3478,398.0298,-4.347778,0.5607241,1.970154,0.5670419
4489,398.0298,404.3478,1.970154,0.5680468,-4.347778,0.5585066
4540,398.0298,398.0298,1.970154,0.5690516,1.970154,0.5658294
4591,404.3478,404.3478,-4.347778,0.5605163,-4.347778,0.557294
4642,398.0298,398.0298,1.970154,0.5678391,1.970154,0.5646168
4693,398.0298,398.0298,1.970154,0.5688438,1.970154,0.5656216
4744,398.0298,398.0298,1.970154,0.5698486,1.970154,0.5666264
4795,404.3478,398.0298,-4.347778,0.5613132,1.970154,0.5676312
4846,398.0298,398.0298,1.970154,0.568636,1.970154,0.5686359
4897,398.0298,404.3478,1.970154,0.5696408,-4.347778,0.5601006
4948,398.0298,404.3478,1.970154,0.5706456,-4.347778,0.5578833
4999,398.0298,398.0298,1.970154,0.5716504,1.970154,0.565206
5050,398.0298,398.0298,1.970154,0.5726552,1.970154,0.5662108
5101,404.3478,398.0298,-4.347778,0.5641199,1.970154,0.5672156
5152,404.3478,398.0298,-4.347778,0.5619025,1.970154,0.5682204
5203,398.0298,404.3478,1.970154,0.5692253,-4.347778,0.559685
5254,398.0298,398.0298,1.970154,0.5702301,1.970154,0.5670078
5305,398.0298,398.0298,1.970154,0.5712348,1.970154,0.5680126
5356,404.3478,404.3478,-4.347778,0.5626995,-4.347778,0.5594773
5407,398.0298,398.0298,1.970154,0.5700223,1.970154,0.5668
5458,398.0298,398.0298,1.970154,0.571027,1.970154,0.5678048
5509,398.0298,404.3478,1.970154,0.5720319,-4.347778,0.5592695
5562,401.2484,395.1689,-1.248444,0.5681516,4.831116,0.5710089
5613,398.0298,398.0298,1.970154,0.572375,1.970154,0.5691527
5664,404.3478,398.0298,-4.347778,0.5638396,1.970154,0.5701575
5715,398.0298,404.3478,1.970154,0.5711624,-4.347778,0.5616222
5766,404.3478,404.3478,-4.347778,0.5626271,-4.347778,0.5594048
5817,398.0298,398.0298,1.970154,0.5699498,1.970154,0.5667276
5868,398.0298,398.0298,1.970154,0.5709546,1.970154,0.5677324
5919,404.3478,398.0298,-4.347778,0.5624193,1.970154,0.5687371
5970,398.0298,404.3478,1.970154,0.569742,-4.347778,0.5602018
6021,398.0298,398.0298,1.970154,0.5707469,1.970154,0.5675246
6072,404.3478,404.3478,-4.347778,0.5622115,-4.347778,0.5589892
6123,398.0298,398.0298,1.970154,0.5695343,1.970154,0.566312
6174,398.0298,398.0298,1.970154,0.570539,1.970154,0.5673168
6225,398.0298,398.0298,1.970154,0.5715438,1.970154,0.5683216
6276,404.3478,404.3478,-4.347778,0.5630085,-4.347778,0.5597863
6327,398.0298,398.0298,1.970154,0.5703313,1.970154,0.567109
6378,398.0298,404.3478,1.970154,0.571336,-4.347778,0.5585737
6429,398.0298,398.0298,1.970154,0.5723409,1.970154,0.5658965
6480,404.3478,398.0298,-4.347778,0.5638055,1.970154,0.5669012
6531,404.3478,404.3478,-4.347778,0.5615881,-4.347778,0.5583659
6582,398.0298,398.0298,1.970154,0.5689109,1.970154,0.5656887
6633,398.0298,398.0298,1.970154,0.5699157,1.970154,0.5666934
6684,398.0298,398.0298,1.970154,0.5709205,1.970154,0.5676982
6735,404.3478,398.0298,-4.347778,0.5623851,1.970154,0.568703
6786,398.0298,404.3478,1.970154,0.5697079,-4.347778,0.5601677
6837,398.0298,398.0298,1.970154,0.5707127,1.970154,0.5674905
6888,398.0298,404.3478,1.970154,0.5717175,-4.347778,0.5589551
6939,404.3478,398.0298,-4.347778,0.5631821,1.970154,0.5662779
6990,398.0298,398.0298,1.970154,0.5705049,1.970154,0.5672827
7041,398.0298,398.0298,1.970154,0.5715096,1.970154,0.5682874
7092,398.0298,404.3478,1.970154,0.5725145,-4.347778,0.5597521
7143,404.3478,398.0298,-4.347778,0.5639791,1.970154,0.5670749
7194,398.0298,404.3478,1.970154,0.5713019,-4.347778,0.5585395
7245,404.3478,398.0298,-4.347778,0.5627666,1.970154,0.5658623
7296,398.0298,398.0298,1.970154,0.5700893,1.970154,0.5668671
7347,398.0298,404.3478,1.970154,0.5710941,-4.347778,0.5583317
7398,404.3478,398.0298,-4.347778,0.5625587,1.970154,0.5656545
7449,398.0298,398.0298,1.970154,0.5698815,1.970154,0.5666593
7500,398.0298,398.0298,1.970154,0.5708863,1.970154,0.5676641
7551,398.0298,404.3478,1.970154,0.5718911,-4.347778,0.5591288
7602,404.3478,398.0298,-4.347778,0.5633558,1.970154,0.5664515
7653,398.0298,398.0298,1.970154,0.5706785,1.970154,0.5674563
7704,398.0298,398.0298,1.970154,0.5716834,1.970154,0.5684611
7755,404.3478,404.3478,-4.347778,0.563148,-4.347778,0.5599257
7806,398.0298,398.0298,1.970154,0.5704708,1.970154,0.5672485
7857,398.0298,398.0298,1.970154,0.5714756,1.970154,0.5682533
7908,398.0298,404.3478,1.970154,0.5724803,-4.347778,0.5597179
7959,404.3478,398.0298,-4.347778,0.563945,1.970154,0.5670407
8010,398.0298,398.0298,1.970154,0.5712678,1.970154,0.5680455
8061,404.3478,398.0298,-4.347778,0.5627324,1.970154,0.5690503
8112,398.0298,404.3478,1.970154,0.5700552,-4.347778,0.560515
8163,398.0298,398.0298,1.970154,0.57106,1.970154,0.5678377
8214,404.3478,404.3478,-4.347778,0.5625246,-4.347778,0.5593024
8265,398.0298,398.0298,1.970154,0.5698474,1.970154,0.5666252
8316,398.0298,398.0298,1.970154,0.5708522,1.970154,0.5676299
8367,398.0298,398.0298,1.970154,0.571857,1.970154,0.5686347
8418,404.3478,404.3478,-4.347778,0.5633216,-4.347778,0.5600994
8469,391.7119,398.0298,8.288055,0.5801845,1.970154,0.5674222
8520,398.0298,398.0298,1.970154,0.5748713,1.970154,0.568427
8571,398.0298,404.3478,1.970154,0.5758761,-4.347778,0.5598917
8622,404.3478,398.0298,-4.347778,0.5673408,1.970154,0.5672144
8673,404.3478,398.0298,-4.347778,0.5651234,1.970154,0.5682192
8724,398.0298,398.0298,1.970154,0.5724462,1.970154,0.5692239
8775,398.0298,404.3478,1.970154,0.5734509,-4.347778,0.5606886
8826,398.0298,404.3478,1.970154,0.5744557,-4.347778,0.5584713
8877,404.3478,398.0298,-4.347778,0.5659204,1.970154,0.565794
8928,398.0298,398.0298,1.970154,0.5732431,1.970154,0.5667988
8979,398.0298,391.7119,1.970154,0.5742479,8.288055,0.5773436
9030,404.3478,404.3478,-4.347778,0.5657126,-4.347778,0.5624904
9081,398.0298,398.0298,1.970154,0.5730353,1.970154,0.5698132
9132,398.0298,404.3478,1.970154,0.5740402,-4.347778,0.5612778
9183,404.3478,398.0298,-4.347778,0.5655048,1.970154,0.5686006
9234,398.0298,404.3478,1.970154,0.5728276,-4.347778,0.5600652
9285,404.3478,398.0298,-4.347778,0.5642922,1.970154,0.567388
9336,398.0298,398.0298,1.970154,0.571615,1.970154,0.5683928
9387,398.0298,404.3478,1.970154,0.5726198,-4.347778,0.5598574
