ms,l,r
79,1,0
106840,6,1
212962,7,1
330879,7,1
436859,8,1
542486,8,1
650615,10,1
756134,12,1
861828,15,1
967857,18,3
1074418,21,6
1180095,24,9
1289673,28,10
1395455,34,13
1501164,40,17
1606856,45,20
1713799,54,22
1819403,64,29
1926988,74,33
2033822,85,40
2140510,97,46
2250182,112,53
2355788,128,61
2461561,146,69
2569423,164,78
2675133,185,88
2789344,206,97
2894261,226,106
2999949,248,115
3106596,270,124
3214974,291,134
3321067,312,143
3427816,334,154
3535584,355,164
3643124,377,174
3750853,398,184
3857585,420,195
3965940,441,205
4071986,462,214
4177644,483,225
4284460,505,236
4393138,527,246
4498728,548,256
4605271,569,265
4712781,590,277
4817993,611,287
4924707,633,298
5033373,654,309
5139056,676,320
5245148,697,330
5352606,716,341
5460181,735,352
5567510,755,362
5674706,778,373
5780361,799,385
5890629,820,396
5998444,843,407
6105096,865,419
6210840,888,431
6317758,910,442
6424526,931,454
6532133,952,466
6638819,974,477
6745647,996,489
6854295,1020,502
6959854,1044,514
7066818,1068,525
7173500,1089,536
7279199,1114,548
7387814,1138,559
7494550,1162,571
7600240,1185,582
7706855,1206,594
7813823,1227,606
7919525,1250,616
8027077,1273,628
8133895,1298,640
8239578,1324,651
8346186,1348,664
8454912,1373,677
8560575,1398,689
8667462,1424,702
8774224,1448,714
8879909,1473,726
8986671,1498,739
9094280,1522,751
9199909,1545,762
9306801,1566,774
9414585,1590,786
9522060,1614,796
9627839,1636,807
9734621,1657,818
9840321,1678,830
9947803,1700,841
10055607,1720,851
10161338,1741,863
10269239,1764,874
10374962,1787,885
10480648,1810,896
10590148,1832,907
10695948,1854,918
10801695,1877,928
10909581,1902,940
11017056,1928,951
11124755,1952,962
11233368,1977,974
11340099,2002,986
11465995,2032,1000
11574578,2055,1013
11680319,2077,1025
11790502,2099,1037
11896688,2119,1050
12002405,2141,1062
12112867,2165,1075
12218758,2189,1088
12326386,2214,1099
12435159,2238,1112
12541857,2261,1124
12649596,2283,1137
12757222,2306,1148
12862838,2327,1158
12971681,2348,1171
13079156,2370,1182
13185918,2391,1193
13293806,2413,1205
13401226,2434,1217
13509239,2456,1229
13614883,2479,1242
13720559,2504,1255
13830146,2530,1269
13935894,2556,1282
14041622,2583,1294
14150759,2611,1306
14256932,2637,1318
14364674,2663,1330
14473268,2687,1341
14578967,2711,1352
14686628,2736,1363
14795261,2761,1373
14901028,2786,1384
15007912,2815,1397
15133887,2840,1409
15239569,2863,1420
15349356,2886,1431
15454964,2909,1441
15560618,2930,1452
15670821,2953,1462
15775910,2973,1474
15882675,2995,1484
15992285,3016,1495
16097985,3038,1506
16205704,3060,1518
16314346,3085,1530
16420012,3108,1542
16526929,3133,1554
16634677,3159,1568
16742093,3185,1580
16850626,3210,1592
16956732,3234,1605
17065172,3259,1617
17172760,3282,1630
17278732,3307,1643
17387340,3332,1654
17494132,3358,1666
17599344,3384,1679
17706700,3411,1691
17814158,3437,1702
17919924,3461,1714
18027806,3485,1726
18136138,3509,1738
18241928,3530,1749
18349650,3551,1761
18455520,3573,1772
18561692,3595,1784
18671778,3617,1797
18797756,3645,1810
18905700,3668,1821
19012132,3691,1835
19118818,3714,1848
19227390,3737,1861
19334208,3759,1873
19439880,3784,1885
19546502,3809,1897
19652852,3833,1909
19759132,3855,1920
19867778,3879,1930
19974538,3901,1942
20080216,3925,1954
20189870,3949,1965
20295618,3972,1976
20402260,3996,1987
20510866,4019,1999
20616552,4042,2009
20722284,4067,2020
20830594,4092,2033
20935922,4116,2043
21041600,4139,2054
21150784,4161,2065
21255856,4184,2076
21362688,4207,2088
21472242,4231,2101
21577944,4256,2113
21684600,4281,2124
21792544,4307,2137
21898256,4333,2150
22005966,4360,2162
22112660,4388,2176
22218326,4414,2189
22325668,4440,2201
22434712,4464,2213
22540366,4486,2226
22647828,4508,2238
22756708,4530,2250
22862438,4554,2262
22972174,4578,2274
23078800,4603,2287
23185682,4626,2300
23294164,4647,2312
23400838,4669,2323
23507834,4692,2335
23616206,4714,2347
23721830,4738,2358
23829662,4760,2371
23935856,4782,2384
24042172,4806,2396
24151772,4831,2409
24259894,4856,2422
24366082,4880,2434
24472898,4905,2447
24579546,4930,2460
24687868,4957,2472
24804932,4986,2485
24911286,5010,2496
25017008,5036,2508
25122746,5060,2519
25232366,5085,2530
25338062,5110,2541
25444620,5136,2552
25551640,5162,2564
25657404,5185,2574
25765970,5208,2584
25872774,5228,2595
25978418,5250,2606
26087036,5271,2617
26193770,5293,2627
26299478,5314,2637
26407124,5336,2649
26515798,5357,2661
26621522,5379,2673
26729422,5403,2685
26837864,5428,2698
26943004,5453,2710
27052880,5478,2723
27158902,5503,2736
27266586,5530,2747
27375354,5556,2760
27480912,5581,2772
27587846,5606,2785
27694560,5631,2798
27800250,5656,2810
27907018,5681,2822
28015584,5706,2834
28121312,5732,2846
28229296,5760,2858
28336610,5786,2870
28442340,5811,2882
28569528,5837,2895
28675214,5860,2906
28780870,5882,2917
28890436,5901,2930
28996226,5924,2942
29101918,5945,2954
29209664,5968,2966
29315524,5992,2978
29423060,6016,2992
29531796,6039,3005
29637662,6062,3019
29745760,6088,3031
29851910,6114,3045
29957606,6139,3057
30063508,6156,3064
30168946,6155,3064
30273878,6155,3064
30379600,6155,3064
30485384,6155,3064
30591158,6155,3064
30696842,6155,3064
30802584,6155,3064
30908816,6155,3064
31014160,6155,3064
31119868,6155,3064
31226672,6155,3064
31333438,6155,3064
31439172,6155,3064
31545068,6155,3064
31653242,6155,3064
31759214,6155,3064
31866132,6155,3064
31972768,6155,3064
32079492,6155,3064
32187086,6155,3064
32293856,6155,3064
32399566,6155,3064
32505542,6155,3064
32611092,6155,3064
32716820,6155,3064
