ms,l,r,a_x,a_y,g_z
41,1,0,-9.567672,-9.447106,-1850.059
109607,13,13,-1.271672,11.53689,1159.941
219159,36,40,28.98433,86.2009,6059.941
327834,63,71,-35.43167,0.8008942,3609.941
435384,93,104,-0.2956719,-4.079106,5359.941
546872,126,141,-16.39967,-10.42311,4939.941
653742,161,180,-12.49567,69.6089,2839.941
762216,199,224,-26.64767,22.27289,2769.941
871096,240,267,-10.54367,53.0169,319.9412
980665,282,310,10.92833,46.67289,2279.941
1090230,325,355,-17.86367,13.48889,2629.941
1199761,370,400,4.096328,-14.32711,6199.941
1307446,413,447,41.18433,-37.75111,3049.941
1417047,460,497,10.92833,98.8889,-3040.059
1526941,509,546,-31.52767,-43.11911,-800.0588
1633427,558,594,3.120328,8.120894,-2550.059
1742908,610,646,-9.567672,6.168894,2979.941
1851714,662,700,-3.711672,52.5289,3189.941
1960291,714,750,6.048328,-30.91911,-4580.059
2069789,772,800,20.20033,-16.27911,-11580.06
2178279,831,851,21.66433,-16.76711,-9550.059
2287890,890,902,-17.37567,63.7529,-5630.059
2397676,949,956,37.28033,-56.78311,-6260.059
2505475,1005,1011,-15.42367,23.73689,-2340.059
2614997,1064,1065,-2.247672,-37.75111,-7870.059
2725606,1127,1121,10.44033,18.36889,-10740.06
2834084,1188,1176,-32.50367,-26.52711,-3110.059
2945675,1251,1234,24.10433,9.584894,-8220.059
3055257,1312,1292,-35.91967,29.59289,-1780.059
3166892,1376,1351,41.67233,-25.06311,-10740.06
3274530,1437,1410,-55.43967,27.64089,1719.941
3385292,1499,1472,25.56833,-9.935106,739.9412
3493640,1555,1534,-50.07167,-39.21511,8299.941
3605330,1614,1599,-12.98367,41.7929,6339.941
3713736,1673,1663,8.000328,-45.5591,7669.941
3821598,1732,1728,-8.103672,-2.615106,8439.941
3931159,1792,1794,-5.663672,129.1449,5149.941
4040654,1838,1860,-4.199672,-130.9591,28599.94
4148840,1781,1956,-65.19968,-10.42311,148299.9
4257856,1676,2089,-79.35167,-79.2311,237199.9
4365632,1552,2247,-117.4157,33.0089,281649.9
4473182,1418,2420,-120.3437,-83.6231,312799.9
4581101,1288,2609,-114.9757,-113.3911,348709.9
4690648,1151,2812,-165.7277,-140.2311,346749.9
4800161,1006,3024,-202.3277,-211.9671,352419.9
4907884,873,3237,-160.3597,-8.959106,366139.9
5014634,745,3452,-284.3117,-162.1911,372789.9
5123290,615,3663,-130.1037,-111.9271,362289.9
5234464,479,3884,-146.2077,-169.9991,370689.9
5365547,306,4148,-132.5437,-15.79111,339399.9
