ms,l,r,a_x,a_y,g_z
41,-1,-1,-30.84216,-55.31789,-2128.966
109842,12,12,0.8778429,8.610115,-2408.966
217971,39,40,-18.15416,33.98611,-4788.965
326906,70,70,-13.27416,-17.25389,-2128.966
436303,103,103,-61.09816,-47.99789,4941.035
544162,137,138,-7.418158,24.71412,4801.035
653738,173,174,-26.93816,14.46611,6131.035
763189,213,213,-39.13816,11.05012,-8568.966
873784,258,258,42.84584,-10.90989,-7168.965
984332,303,303,-18.15416,24.71412,-8568.966
1092158,350,350,9.173842,30.57012,-4928.965
1201722,398,399,26.25385,-21.15788,-4158.965
1311237,446,446,-4.978158,-2.125885,2351.034
1419047,492,492,8.197843,5.682115,-2268.966
1528488,543,543,-16.20216,31.05812,-3598.966
1635375,594,594,21.37384,-63.12589,-4438.965
1744842,647,647,0.389842,-1.637886,-7308.965
1854375,703,703,31.13384,-33.35788,-8498.966
1962234,758,758,-4.978158,48.13811,-4648.965
2072764,814,814,-3.026157,-36.77388,41.03448
2201553,879,879,3.805842,27.15412,-7238.965
2311126,936,937,-36.21016,19.34612,-2268.966
2421285,994,994,3.317842,7.146115,951.0345
2529547,1047,1047,-16.69016,3.242115,10121.03
2639949,1101,1101,56.50984,33.49812,1231.034
2749329,1159,1159,-7.906157,-48.48589,-2688.966
2856253,1218,1219,18.44584,2.266115,-6398.965
2965829,1279,1279,-14.25016,24.71412,-3108.966
3075334,1341,1341,68.22185,-22.62189,-5348.965
3183186,1400,1400,-58.65816,53.01812,181.0345
3292737,1461,1462,22.83784,-37.74989,-2338.966
3402281,1524,1524,-44.50616,53.01812,-3318.966
3510852,1585,1586,29.66985,-11.39788,-588.9655
3620146,1643,1643,-55.24216,-49.46188,12081.03
3729693,1700,1701,18.44584,140.8581,9351.034
3837931,1760,1760,79.44585,10.56211,-1498.966
3946441,1819,1819,-12.29816,-49.94989,3331.034
4057965,1866,1866,-110.8742,51.55412,59331.04
4168607,1810,1810,-119.1702,-76.78989,155791.0
4279083,1713,1713,-55.73016,-169.0219,248611.0
4388504,1591,1590,-98.18616,-145.5979,292151.0
4499213,1457,1457,-80.61816,-103.1419,310701.0
4606985,1314,1314,-113.8022,-121.1979,309861.0
4718886,1179,1178,-227.9942,-129.4939,344931.0
4826092,1054,1054,-131.3702,-47.99789,339681.0
4937798,914,914,-115.2662,-114.8539,325331.0
5048297,766,766,-96.72216,0.802115,279201.0
5157929,617,617,-83.05816,-386.6699,292851.0
5265652,483,481,-59.63416,-101.6779,305521.0
5375205,341,341,-142.5942,-248.0779,306291.0
5485717,197,196,101.4058,-50.92588,300341.0
5597616,58,57,-179.1942,-102.6539,327221.0
5706850,-78,-81,-197.7382,-39.21389,310351.0
5816427,-219,-220,-207.4982,-148.0379,333521.0
5926960,-351,-352,-168.4582,-45.55788,328271.0
6036428,-491,-491,-186.5142,-31.89389,329251.0
6144296,-626,-626,-147.9622,-111.9259,323441.0
6253859,-769,-769,-144.0582,-81.18189,317141.0
6364343,-910,-910,-88.42616,-184.6379,315251.0
6474916,-1060,-1060,-155.7702,-2.613885,294041.0
6585474,-1205,-1205,-211.4022,-82.15789,321761.0
6694972,-1349,-1349,-146.4982,-198.7899,288441.0
6803839,-1488,-1488,-230.4342,37.89011,311681.0
6913419,-1631,-1631,-173.8262,-84.10989,302021.0
7023989,-1766,-1767,-356.3382,-99.23789,338211.0
7133518,-1893,-1894,-251.9062,-10.42188,328131.0
7242998,-2028,-2028,-132.8342,-123.1499,316511.0
7351704,-2164,-2166,-146.0102,-46.04589,319661.0
7461428,-2306,-2306,-225.0662,-33.35788,313571.0
7571961,-2447,-2447,-203.1062,-146.0859,316231.0
7682528,-2591,-2591,-187.4902,-48.97388,321761.0
7792092,-2733,-2733,-142.5942,-81.66989,315671.0
7901605,-2872,-2872,-139.6662,-195.3739,314901.0
8011826,-3001,-3001,-126.0022,-132.4219,328481.0
8120787,-3132,-3134,-194.3222,-175.8539,352281.0
8249551,-3283,-3284,-52.80216,-260.2779,336881.0
8359004,-3419,-3419,-176.7542,-186.1019,337931.0
8467002,-3551,-3551,-166.5062,-100.7019,343461.0
8579159,-3688,-3688,-110.3862,-132.9099,332891.0
8686124,-3826,-3826,-178.7062,-139.2539,324771.0
8795682,-3969,-3970,-145.0342,-148.0379,320501.0
8906097,-4101,-4102,-147.9622,-95.82189,329671.0
9015043,-4222,-4222,65.29385,-183.1739,142281.0
9124639,-4229,-4229,-36.69816,39.84212,-4648.965
9233143,-4206,-4206,9.661843,-35.79789,-3458.966
9343620,-4181,-4181,-5.954158,-8.957886,-8918.966
9451736,-4151,-4151,15.02984,27.64212,-10108.97
9561060,-4116,-4116,8.685843,28.61812,-13748.97
9670628,-4079,-4079,16.49384,54.97012,-14448.97
9781121,-4038,-4038,-25.96216,68.14611,-44128.96
9889524,-3996,-3996,140.4458,28.13012,-13258.97
9999327,-3957,-3957,-70.37016,-93.38189,-20958.96
10108914,-3918,-3918,4.293843,82.29811,-7728.965
10218903,-3878,-3878,74.56584,-21.64589,-14868.97
10326301,-3839,-3839,-8.882157,-66.05389,-11858.97
10435870,-3806,-3806,45.77385,37.40211,4941.035
10545434,-3778,-3778,5.757842,7.146115,1091.034
10653248,-3745,-3745,5.757842,60.82611,-588.9655
10762806,-3706,-3706,-26.45016,60.82611,-378.9655
10872316,-3660,-3660,9.173842,28.61812,2701.034
10980937,-3610,-3610,-26.45016,-62.14988,4171.035
11090499,-3554,-3554,5.269843,99.86611,4381.035
11199192,-3499,-3499,3.805842,-23.10988,671.0345
11306973,-3442,-3440,25.27784,55.45811,1651.034
11417594,-3382,-3382,4.293843,-45.06989,2281.034
11526120,-3323,-3323,13.56584,25.69011,1441.034
11637693,-3263,-3262,45.77385,0.802115,5711.035
11744441,-3204,-3204,17.46984,168.1861,9211.034
11854001,-3142,-3142,74.07784,28.61812,4381.035
11963460,-3080,-3080,-23.03416,-97.77389,2561.034
12073864,-3018,-3018,-47.43416,32.52211,11941.03
12181869,-2956,-2956,22.34984,-37.26189,3891.034
12291446,-2895,-2894,-3.026157,-80.20589,671.0345
12401010,-2826,-2826,-33.28216,75.46611,-1218.966
12511610,-2756,-2756,8.197843,59.85012,-3878.966
12622118,-2694,-2694,32.59784,-100.7019,9561.034
12730684,-2634,-2634,7.709842,139.3941,8091.035
12841009,-2570,-2570,-12.29816,61.80212,-8358.966
12950714,-2502,-2502,-3.514157,-53.85389,-5698.965
